userid,itemid,rating,age,gender,occupation,zip,movietitle,releasedate
196,465,5,49,M,writer,55105,"Jungle Book, The (1994)",01/01/1994
196,1014,5,49,M,writer,55105,Romy and Michele's High School Reunion (1997),25/04/1997
196,222,5,49,M,writer,55105,Star Trek: First Contact (1996),22/11/1996
196,387,5,49,M,writer,55105,"Age of Innocence, The (1993)",01/01/1993
38,95,5,28,F,other,54467,Aladdin (1992),01/01/1992
160,234,5,27,M,programmer,66215,Jaws (1975),01/01/1975
278,603,5,37,F,librarian,30033,Rear Window (1954),01/01/1954
287,327,5,21,M,salesman,31211,Cop Land (1997),01/01/1997
246,201,5,19,M,student,28734,Evil Dead II (1987),01/01/1987
242,1137,5,33,M,educator,31404,Beautiful Thing (1996),09/10/1996
249,241,5,25,M,student,84103,"Last of the Mohicans, The (1992)",01/01/1992
99,4,5,20,M,student,63129,Get Shorty (1995),01/01/1995
25,181,5,39,M,engineer,55107,Return of the Jedi (1983),14/03/1997
59,196,5,49,M,educator,8403,Dead Poets Society (1989),01/01/1989
290,143,5,40,M,engineer,93550,"Sound of Music, The (1965)",01/01/1965
42,423,5,30,M,administrator,17870,E.T. the Extra-Terrestrial (1982),01/01/1982
138,26,5,46,M,doctor,53211,"Brothers McMullen, The (1995)",01/01/1995
60,427,5,50,M,healthcare,6472,To Kill a Mockingbird (1962),01/01/1962
57,304,5,16,M,none,84010,Fly Away Home (1996),13/09/1996
127,229,5,33,M,none,73439,Star Trek III: The Search for Spock (1984),01/01/1984
225,237,5,51,F,administrator,58202,Jerry Maguire (1996),13/12/1996
225,480,5,51,F,administrator,58202,North by Northwest (1959),01/01/1959
291,144,5,19,M,student,44106,Die Hard (1988),01/01/1988
267,518,5,23,M,engineer,83716,Miller's Crossing (1990),01/01/1990
279,154,5,33,M,programmer,85251,Monty Python's Life of Brian (1979),01/01/1979
119,1153,5,32,M,programmer,67401,Backbeat (1993),01/01/1993
